iter	Logloss
281	0.4862756248
282	0.486215953
283	0.486158455
284	0.486099378
285	0.4860338535
286	0.4859769787
287	0.4859085778
288	0.4858623766
289	0.4857886127
290	0.4857554348
291	0.4856949209
292	0.4856424145
293	0.4855618738
294	0.4855225591
295	0.4854614196
296	0.4854270584
297	0.4853847528
298	0.485335924
299	0.4852666897
300	0.4852174103
301	0.485168588
302	0.4851286964
303	0.4850820564
304	0.4850372187
305	0.4850008325
306	0.484961918
307	0.4848833237
308	0.4848203916
309	0.4847714156
310	0.4847149634
311	0.4846649508
312	0.4845919551
313	0.4845298913
314	0.4844755372
315	0.484408118
316	0.484348431
317	0.4843164013
318	0.4842679658
319	0.484228705
320	0.4841995679
321	0.4841393184
322	0.4840704049
323	0.4840295978
324	0.4839867457
325	0.4839568695
326	0.483933511
327	0.4838775371
328	0.4838148792
329	0.4837737026
330	0.4837402033
331	0.483693477
332	0.483653925
333	0.4836189808
334	0.4835729748
335	0.4835000542
336	0.4834441742
337	0.483407145
338	0.4833579234
339	0.4833010228
340	0.4832689086
341	0.4832051927
342	0.4831353433
343	0.4830857066
344	0.4830343606
345	0.4829993807
346	0.4829362707
347	0.4828892395
348	0.4828507534
349	0.4827921784
350	0.4827468314
351	0.4827125906
352	0.4826327056
353	0.4825879977
354	0.4825455296
355	0.4824758063
356	0.4824025121
357	0.4823355293
358	0.4822905118
359	0.4822431991
360	0.4822105459
361	0.482172487
362	0.4821351525
363	0.4820695458
364	0.4820497513
365	0.4820053703
366	0.4819626172
367	0.4819205624
368	0.4818806246
369	0.4818468214
370	0.481812541
371	0.481772381
372	0.4817275394
373	0.4817033013
374	0.4816672931
375	0.4816211144
376	0.4815588711
377	0.4814957882
378	0.4814714325
379	0.4813951763
380	0.4813444129
381	0.481314728
382	0.4812859992
383	0.4812428521
384	0.4812217465
385	0.4811771986
386	0.4811245933
387	0.4811007953
388	0.481061663
389	0.4810034097
390	0.4809548132
391	0.4808864856
392	0.4808273872
393	0.4807882293
394	0.4807456154
395	0.4807087
396	0.4806778215
397	0.4806028192
398	0.4805292385
399	0.4805027677
400	0.4804460784
401	0.480399817
402	0.4803536768
403	0.4803147751
404	0.4802939551
405	0.480258246
406	0.4801902963
407	0.4801516114
408	0.4800981674
409	0.4800257603
410	0.479963542
411	0.4799156193
412	0.4798890169
413	0.4798470431
414	0.4798029536
415	0.4797803682
416	0.4797470343
417	0.4797086541
418	0.4796753797
419	0.4796430562
420	0.4795925976
421	0.4795178462
422	0.479496093
423	0.4794711851
424	0.4794230121
425	0.4793595675
426	0.4792949601
427	0.4792306222
428	0.4791782225
429	0.4791410343
430	0.4791126364
431	0.4790887126
432	0.4790455614
433	0.4789901123
434	0.4789362323
435	0.4788830075
436	0.4788463746
437	0.4787814314
438	0.4787441538
439	0.4786958237
440	0.4786546959
441	0.4786141174
442	0.4785506616
443	0.4784912495
444	0.4784708683
445	0.4784416506
446	0.4784047557
447	0.4783669829
448	0.4783441839
449	0.4782860181
450	0.478257187
451	0.4782166249
452	0.4781784086
453	0.4781612346
454	0.4781188618
455	0.4780600242
456	0.4780057621
457	0.4779422215
458	0.4779150024
459	0.477870497
460	0.4778189319
461	0.4777861062
462	0.4777599194
463	0.4777311143
464	0.4776958636
465	0.4776499421
466	0.4776067454
467	0.4775464402
468	0.4774878365
469	0.4774444974
470	0.4773925932
471	0.4773482086
472	0.4772987895
473	0.4772435954
474	0.4772154267
475	0.4771455918
476	0.4770963274
477	0.4770401392
478	0.4770186283
479	0.4769976947
480	0.4769615736
481	0.4769413439
482	0.4768932454
483	0.4768603024
484	0.4768135084
485	0.4767618288
486	0.4767184264
487	0.4766744649
488	0.4766384116
489	0.4765893863
490	0.4765275239
491	0.4764868494
492	0.4764585344
493	0.476430472
494	0.4764052653
495	0.4763646575
496	0.4763078119
497	0.4762750825
498	0.4762375578
499	0.4761813739
